# ==GRID== id cols rows
999	8	4
# type	x	y	ani_set_id	tag	tag1	tag2	
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas, 4 = Block
# === Brick===
1	622	176	12	12	1	4
#=== Cloud down ===
1	0	416	422	1	3	0
1	16	416	422	1	3	0
1	32	416	422	1	3	0
1	48	416	422	1	3	0
1	64	416	422	1	3	0
1	80	416	422	1	3	0
1	96	416	422	1	3	0
1	112	416	422	1	3	0
1	128	416	422	1	3	0
1	144	416	422	1	3	1
1	160	416	422	1	3	1
1	176	416	422	1	3	1
1	192	416	422	1	3	1
1	208	416	422	1	3	1
1	224	416	422	1	3	1
1	240	416	422	1	3	1
1	256	416	422	1	3	1
1	272	416	422	1	3	2
1	288	416	422	1	3	2
1	304	416	422	1	3	2
1	320	416	422	1	3	2
1	336	416	422	1	3	2
1	352	416	422	1	3	2
1	368	416	422	1	3	2
1	384	416	422	1	3	2
1	400	416	422	1	3	2
1	416	416	422	1	3	3
1	432	416	422	1	3	3
1	448	416	422	1	3	3
1	464	416	422	1	3	3
1	480	416	422	1	3	3
1	496	416	422	1	3	3
1	512	416	422	1	3	3
1	528	416	422	1	3	3
1	544	416	422	1	3	4
1	560	416	422	1	3	4
1	576	416	422	1	3	4
1	592	416	422	1	3	4
1	608	416	422	1	3	4
1	624	416	422	1	3	4
1	640	416	422	1	3	4
1	656	416	422	1	3	4
1	672	416	422	1	3	4
1	688	416	422	1	3	5
1	704	416	422	1	3	5
1	720	416	422	1	3	5
1	736	416	422	1	3	5
1	752	416	422	1	3	5
1	768	416	422	1	3	5
1	784	416	422	1	3	5
1	800	416	422	1	3	5
1	816	416	422	1	3	6
1	832	416	422	1	3	6
1	880	416	422	1	3	6
1	896	416	422	1	3	6
1	912	416	422	1	3	6
1	928	416	422	1	3	6
1	944	416	422	1	3	6
1	960	416	422	1	3	7
1	976	416	422	1	3	7
1	992	416	422	1	3	7
1	1008	416	422	1	3	7
1	1024	416	422	1	3	7
# --- pipe ---
1	846	368	124	10	2	6
1	862	368	125	10	2	6
1	846	384	13	10	2	6
1	862	384	14	10	2	6
1	846	400	13	10	2	6
1	862	400	14	10	2	6
1	846	416	13	10	2	6
1	862	416	14	10	2	6
1	846	432	13	10	2	6
1	862	432	14	10	2	6
# --- pipe ---
1	846	368	124	10	2	6
1	862	368	125	10	2	6
1	846	384	13	10	2	6
1	862	384	14	10	2	6
1	846	400	13	10	2	6
1	862	400	14	10	2	6
1	846	416	13	10	2	6
1	862	416	14	10	2	6
1	846	432	13	10	2	6
1	862	432	14	10	2	6
# === Coin ===
6	174	352	6	6	2	1
6	190	336	6	6	2	1
6	206	352	6	6	2	1
6	222	336	6	6	2	1
6	238	352	6	6	2	1
6	254	336	6	6	2	1
6	270	352	6	6	2	1
6	334	336	6	6	2	2
6	350	352	6	6	2	2
6	366	336	6	6	2	2
6	382	352	6	6	2	2
6	398	336	6	6	2	2
6	414	352	6	6	2	3
6	430	336	6	6	2	3
6	478	352	6	6	2	3
6	494	336	6	6	2	3
6	510	352	6	6	2	3
6	526	336	6	6	2	3
6	542	352	6	6	2	3
6	558	336	6	6	2	4
6	574	352	6	6	2	4
6	574	192	6	6	1	4
6	574	176	6	6	1	4
6	574	160	6	6	1	4
6	590	208	6	6	1	4
6	590	192	6	6	1	4
6	590	160	6	6	1	4
6	590	144	6	6	1	4
6	607	224	6	6	1	4
6	607	208	6	6	1	4
6	607	144	6	6	1	4
6	607	128	6	6	1	4
6	622	224	6	6	1	4
6	622	128	6	6	1	4
6	622	336	6	6	2	4
6	638	352	6	6	2	4
6	638	244	6	6	2	4
6	638	208	6	6	1	4
6	638	144	6	6	1	4
6	638	128	6	6	1	4
6	654	208	6	6	1	4
6	654	192	6	6	1	4
6	654	160	6	6	1	4
6	654	144	6	6	1	4
6	654	336	6	6	2	4
6	670	192	6	6	1	4
6	670	176	6	6	1	4
6	670	160	6	6	1	4
6	670	352	6	6	2	4
6	686	336	6	6	2	5
6	702	352	6	6	2	5
6	718	336	6	6	2	5
6	766	336	6	6	2	5
6	782	352	6	6	2	5
6	798	336	6	6	2	5
6	814	352	6	6	2	5
6	830	336	6	6	2	6
6	846	352	6	6	2	6
6	862	336	6	6	2	6
# --- SCENE PORTAL ----
#type	x	y	ani	scene	tag start_x start_y	pipeUp
50	852	368	0	3	2	2100	100	0	3	6
